UUID,Name (en),Kategorie (en),Typ,Bezugsgroesse,Bezugseinheit,Laenderkennung,Declaration owner,GWP,ODP,POCP,AP,EP,ADPE,ADPF,PERE,PERM,PERT,PENRE,PENRM,PENRT,AP (A2),GWPtotal (A2),GWPbiogenic (A2),GWPfossil (A2),GWPluluc (A2),ETPfw (A2),PM (A2),EPmarine (A2),EPfreshwater (A2),EPterrestrial (A2),HTPc (A2),HTPnc (A2),IRP (A2),SOP (A2),ODP (A2),POCP (A2),ADPF (A2),ADPE (A2),WDP (A2),Schuettdichte (kg/m3),Flaechengewicht (kg/m2),Rohdichte (kg/m3),Schichtdicke (m),Ergiebigkeit (m2),Laengengewicht (kg/m),Stueckgewicht (kg),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,biogener Kohlenstoffgehalt (Verpackung) in kg
e6040bf1-2eef-4a26-8145-acc0441e79f8,Sliding Door 30 / 30E / 30T / 30ET / 30L / 30 LT / 60 / 60L,'Components for windows and curtain walls' / 'Doors' / 'Aluminium',average dataset,1,pcs.,GLO,KONE Corporation,,,,,,,,730.216,0.084,730.296,6066.17,662.14,6728.37,2.951,454.201,1.542,452.472,0.1913486,7483.68,1.931255e-05,0.648,0.000416435,7.389,3.34466e-06,4.3805e-06,23.202,388.668,2.445346e-10,1.408,6726.6,0.0007621793,31.417,,,,,,,252.73,,,
e618a034-9743-4240-a078-40aeb8ee78b1,Pre-wall flushing technology - Viega - Prevista Pure,'Building service engineering' / 'Sanitary' / 'Mountings',average dataset,1,pcs.,DE,Viega GmbH & Co. KG,,,,,,,,-83.8,88.4,4.65,-393.0,427.0,33.8,0.00967,1.72,-0.111,1.83,0.00126,28.7,1.16e-07,0.00176,0.000788,0.0173,2.2e-08,7.52e-08,0.0744,23.9,1.34e-07,0.00741,33.8,7.29e-05,0.818,,,,,,,7.02,,0.0,0.786
e61b6f47-1aad-499e-b2a7-25d4184da7b8,Exterior door - VFF - Wood exterior door without light cut-out,'Components for windows and curtain walls' / 'Doors' / 'Wood',average dataset,1,qm,RER,Verband Fenster + Fassade,,,,,,,,1173.3,505.6,1678.9,722.34,150.07,872.41,0.25,9.86,-43.69,53.42,0.12,459.55,9.36e-06,0.0788,0.000876,0.77,1.57e-06,1.26e-06,11.22,14582.38,2e-09,0.31,865.22,37.92,15.73,,28.92,,0.09,,,,,,
e6819670-eb6c-4104-adea-f7f8bb2f49e6,autoclaved aerated concrete units,"'Mineral building products' / 'Bricks, blocks and elements' / 'Aerated concrete'",average dataset,1,m3,DE,Bundesverband Porenbetonindustrie e.V.,,,,,,,,140.367118950888,31.29693506424,171.664054015128,1355.31917708184,27.785887104,1383.10506418589,0.167374524049233,206.942086162686,-2.86538904541342,209.733183742422,0.0742914656782481,,,0.0586058459437698,9.60195827098e-05,0.640349046760054,,,,,4.727e-13,0.171219884742495,1382.74851477085,1.17747052867e-05,22.73746,,,428.0,,,,,0.00234,,
e69c7597-9d58-48cb-88c9-8e73445e7000,"Beton C8/10 X0 F3 32 M, Rezept Nummer NU0334-AHZK Version 1, Transportbetonwerk Bocholt, Germany",'Mineral building products' / 'Mortar and Concrete' / 'Ready mixed concrete',specific dataset,1,m3,DE,Holcim (Deutschland) GmbH,,,,,,,,43.39335807082473,0.0,43.39335807082473,519.66891072829,0.6935,519.66891072829,0.184519439629516,94.88592677986196,0.0625424241961296,94.86358456815572,0.052959277925341,202.4312771424603,2.4749769446e-06,0.0583444540838499,4.04363147515e-05,0.7020983813170221,9.7903549e-09,1.1288986412e-06,2.056357584531051,62.78243866844311,2.764e-13,0.1684844477405762,519.4620713988055,3.8679927414e-06,2.151760547281472,,455.6,2278.0,0.2,,,,0.0004389815627743,,
e69dfe7d-03a7-4151-ab9a-491ea73317da,Polymer concrete products,'Mineral building products' / 'Mortar and Concrete' / 'Ready mixed concrete',average dataset,1,m3,RER,MEA Group GmbH,,,,,,,,1424.18008854691,167.99535,1592.17543854691,23747.0121483678,8157.3708,31904.38295,1.35322643102411,857.391039216422,-7.24476478419258,864.531183744803,0.104620255812021,10948.8231053954,1.51381818985e-05,0.358975566833461,0.0015157234183141,3.86565841203145,2.676794539e-07,9.6364884731e-06,31.4332787412416,3553.54593237785,2.8128893e-09,1.79492793167264,23725.3758785673,7.32959959432e-05,91.7058826512607,,,2167.7,,,,,,,
e6c2de31-b1a6-4c5d-ba5e-df252391321b,Gypsum (CaSO4 alpha semihydrate),'Mineral building products' / 'Binder' / 'Gypsum',generic dataset,1,kg,DE,Sphera Solutions GmbH,,,,,,,,0.370451641824571,0.0,0.370451641824571,3.75302648288465,0.0,3.75302648288465,0.0002481956171804,0.274156875480584,0.0005818534367304,0.273546763233198,2.82588106549e-05,,,8.79367004673e-05,1.793665707e-07,0.0009659180169177,,,,,8.982e-13,0.0002747997863765,3.75299654659437,1.09984066e-08,0.0086127420187429,,,,,,,,,,
e6f41a2a-9389-4b18-8141-44be45aec2fd,"Beton C25/30 XC4 XF1 XA1 F3 16 M ECOPact, Rezept Nummer DA4234-DNZK Version 1, Transportbetonwerk Mönchengladbach, Germany",'Mineral building products' / 'Binder' / 'Cement',specific dataset,1,m3,DE,Holcim (Deutschland) GmbH,,,,,,,,56.68885745894608,0.15795,56.84680745894608,764.1231008728091,8.79873,771.9261008728091,0.2605234502488764,145.1789584274719,0.1434572985685281,145.0858591594,0.0595860793026067,257.5898661863146,2.8594577382e-06,0.0789427052869887,4.87015238666e-05,0.9442355398575282,1.35736657e-08,1.6632923248e-06,3.0963173692666524,68.86359625274157,3.946e-13,0.227197076177191,771.7097136817979,5.3081300663e-06,3.390772872981933,,462.8,2314.0,0.2,,,,0.0004321521175453,,
e70d9027-5315-481c-92e2-7b7d8a02eaba,holzius ? solid wood slab elements,'Wood' / 'Solid wood' / 'Solid structural timber (KVH)',average dataset,1,m3,IT,Rubner Holding AG - S.p.A.,,,,,,,,1877.54401836587,8103.98,9981.52401836587,1597.59775301714,21.217,1618.81475301714,0.663260670941871,-681.481153653568,-806.378571192021,124.483873893664,0.413543644789444,,,0.286004443282139,0.002105910834864,2.92343434693308,,,,,8.6454255e-09,0.77587741403234,1616.2650837853,2.6591386604e-05,17.5091951536683,,,495.0,,,,,,,
e75b7ebd-4184-4f3a-8d1e-52dad31602c6,LUCY 1200 LED IP66 4000 840,'Building service engineering' / 'Electrical' / 'Lighting',average dataset,1,pcs.,EU,Thorn Lighting Ltd,,,,,,,,21.8801543455696,0.0,21.8801543455696,83.2555684349528,13.7275859803741,96.9831544153268,0.0199510067306074,6.42231307764961,-0.312018554462459,6.7307003788352,0.0036312532768703,,,0.004418614604116,6.69316052132e-05,0.0458357376432859,,,,,3.35934e-11,0.0131625868465592,96.8530253813461,0.00020833907032,1.01130020490153,,,,,,,1.15,,,
e778d357-9817-4c42-9955-5d56998c61a4,"Decentralised ventilation units - SIEGENIA-AUBI KG - Passive wall ventilator, AEROTUBE DD160 E28 reveal",'Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system',specific dataset,1,pcs.,RER,SIEGENIA-AUBI KG,,,,,,,,25.86,3.9,29.76,116.3,95.66,211.96,0.0133,7.42,-0.32,7.73,0.014,100.08,1.04e-07,0.00429,1.84e-05,0.0446,4.53e-09,1.16e-07,0.65,25.62,1.02e-10,0.0148,211.64,1.21e-06,0.94,,,,,,,2.39,,0.0,0.093
e787b7b8-6846-4d3f-b72b-d587e6833613,Underfloor heating system PEX (100mm distance),'Building service engineering' / 'Heating' / 'Heat distribution and dissipation',generic dataset,1,qm,DE,Sphera Solutions GmbH,,,,,,,,23.0107447061524,0.0,23.0107447061524,87.9197297105463,83.8,171.719729710546,0.0094447214484505,6.77822353741455,0.0456814909882311,6.73078093729789,0.001761109128422,,,0.0027547084877072,1.41606776241e-05,0.0293670113200187,,,,,5.33362e-11,0.0385927657001035,188.478288124965,2.1570101532e-06,0.382429947434964,,1.9,,,,,,,,
e7923b77-f16f-4896-b20e-b14ee99e1f97,Object fittings - HAFI Beschläge GmbH - Window handles with ball catches,'Components for windows and curtain walls' / 'Window fittings' / 'Window handles',specific dataset,1,pcs.,DE,HAFI Beschläge GmbH,,,,,,,,4.79,0.11,4.9,7.54,0.31,7.85,0.0,0.5,-0.06,0.56,0.000382,3.11,6.67e-08,0.000604,1.38e-06,0.01,8.17e-08,9.05e-09,0.0261,8.97,-6.09e-14,0.00187,7.84,9.18e-06,0.21,,,,,,,0.17,,0.0,0.0
e79ba5ea-a5f9-4904-bbc1-c42461d5b863,RESCLITE PRO MRCR ESC E1DG5 WH,'Building service engineering' / 'Electrical' / 'Lighting',average dataset,1,pcs.,EU,Zumtobel Lighting GmbH,,,,,,,,55.3465304850365,0.0,55.3465304850365,47.3724575390451,2.66156073788125,50.0340182769263,0.057773720685009,3.16196759127811,-0.388416768108661,3.54885461995374,0.0015297394330396,,,0.0030566093902341,1.25636464782e-05,0.0360891910035082,,,,,0.0,0.0112845590490819,49.8048587475818,3.2360606032e-05,1.22344883452024,,,,,,,0.329,,,
e79c0209-9df4-41b0-a449-01cc40ee37a2,Forging stock,'Metals' / 'Aluminium' / 'Cast aluminium',average dataset,1,kg,DE,Aluminium-Werke Wutöschingen AG & Co. KG,,,,,,,,11.8954981440428,0.111034528988112,12.0065326730309,40.7125816008617,0.0081567921563385,40.720738393018,0.0137378677125277,3.19838343795423,0.0056089278794287,3.19202283306591,0.0007523743867671,,,0.002396721433198,1.2974194846e-06,0.0262184778569051,,,,,2.7305e-12,0.0070995051205464,40.6372970717069,7.37809764e-07,0.346625291201292,,,2699.0,,,,,,,
e7b87d20-a825-4308-8ffc-7c9c4326b873,"Beton C25/30 XC4 XF1 XA1 F3 16 M ECOPact, Rezept Nummer DA4234-DNFK Version 1, Transportbetonwerk Fulda, Germany",'Mineral building products' / 'Binder' / 'Cement',specific dataset,1,m3,DE,Holcim (Deutschland) GmbH,,,,,,,,67.10505890959976,0.1638,67.26885890959974,972.7213864020982,8.092,980.8133864020984,0.379407331720183,160.33675730831922,0.1079234509199192,160.1647586900229,0.1434586858327627,451.45386742032,3.5644519516e-06,0.1030205588484205,9.37541832052e-05,1.2160685240447304,1.66583781e-08,1.437142426e-06,2.415325841247449,150.62249476812744,3.891e-13,0.2782452074496924,980.618022944681,6.6603379014e-06,2.6039297405253725,,460.0,2300.0,0.2,,,,0.0004347826086956,,
e7b98886-9ac9-4e77-990b-3e60c2ef0e5a,Roll-bonded clad plates with cladding made of ferritic stainless steels,'Metals' / 'Steel and iron' / 'Steel sheets',average dataset,1000,kg,AT,voestalpine AG,,,,,,,,2306.50641913487,0.0,2306.50641913487,26508.9997043158,0.0,26508.9997043158,9.11314420680187,2975.26160576895,5.92653533671188,2968.27491112105,1.06015931119104,,,1.63837905659403,0.0030774554694224,17.8132041045256,,,,,1.2228948e-09,5.3889787468914,26380.1666563833,0.0291257229953788,160.511914787683,,,7850.0,,,,,,,
e7d4ceb7-da5f-4341-b8f3-ea47bd1fb4bc,Concrete paving stone 8 cm multi-coloured,"'Mineral building products' / 'Bricks, blocks and elements' / 'Precast concrete elements and goods'",average dataset,1,qm,DE,KOLL GmbH & Co. KG,,,,,,,,22.0257711068789,3.75,25.7757711068789,89.3621758087276,1.5023136,90.8644894088333,0.0236459422335932,19.6341454833551,0.0294105644436139,19.5920196500524,0.0127152688590476,,,0.0087374340049618,1.73725782786e-05,0.0927764324955214,,,,,1.85997e-11,0.0248574631794773,90.838015972405,1.7733765603e-06,0.277890314269133,,180.0,2404.0,0.08,,,,,,
e880811f-f90f-472c-8257-7ad04cceec5f,"Metal Ceiling Membranes (1 mm, with acoustic fleece)",'Metals' / 'Steel and iron' / 'Steel sheets',average dataset,1,qm,RER,Knauf Ceiling Solutions GmbH & Co. KG,,,,,,,,27.7310656605778,3.7284925,31.4595581605778,321.106963855817,10.155186,331.262149855817,0.0740040657100544,29.6251762771622,-0.217239598221491,29.8290005918735,0.0134152835101136,62.0228677324256,9.144173568e-07,0.0184362631054281,3.39604011881e-05,0.195928384044263,1.37031148e-08,4.261129231e-07,0.433759915819512,53.4901822631623,2.5704e-12,0.0606904342168284,331.183956160606,0.0001340615205325,12.6675147016152,,7.81,7.81,0.001,,,,,,
e882f76f-8967-46fd-91c1-ee7b278ed2a1,Glas architecture - LAMILUX Heinrich Strunz GmbH - Glas roof PR60 (2025),'Components for windows and curtain walls' / 'Daylight systems and smoke/heat control systems' / 'Roof lights',specific dataset,1,qm,DE,LAMILUX Heinrich Strunz GmbH,,,,,,,,1650.0,0.0,1650.0,5680.0,163.0,5850.0,4.67,486.0,-54.3,540.0,0.351,2090.0,3.3e-05,0.663,0.244,6.9,1.43e-06,4.15e-06,33.4,8660.0,3.86e-06,2.13,5850.0,0.00141,80.6,,63.29,,0.3,,,,,,
e89d9adf-4959-4610-b5e9-fca4ed84b108,Windows - VFF - PVC-aluminium window,'Components for windows and curtain walls' / 'Windows' / 'Plastic windows',average dataset,1,qm,RER,Verband Fenster + Fassade,,,,,,,,673.6,14.41,688.02,768.95,893.71,1662.66,0.45,125.19,-0.57,125.63,0.13,2349.72,7.9e-06,0.098,0.000275,1.13,3.5e-06,0.000379,7.81,1097.34,4.21e-07,0.31,1841.4,0.00014,29.54,,42.17,,0.082,,,,,,
e8b5b0a2-9783-4b58-88bf-0b30b34ef2f0,"Beton C25/30 XC4 XF1 XA1 F3 32 M EcoPact, Rezept Nummer DA4334-DHMS Version 1, Transportbetonwerk Unna, Germany",'Mineral building products' / 'Binder' / 'Cement',specific dataset,1,m3,DE,Holcim (Deutschland) GmbH,,,,,,,,96.89695498179836,0.0,96.89695498179836,822.0580734435002,0.73,822.0580734435002,0.2697405203299578,145.6220414304944,0.1966178639003059,145.39920144315028,0.0701463495154982,311.5567713179449,3.0091345685e-06,0.0826728670684151,7.03380674917e-05,1.0059277494394825,1.42611722e-08,1.6734749862e-06,3.48826666620155,108.30903552824188,1.09522e-10,0.2404856831251322,821.9524261554295,7.2057749074e-06,5.774590747032635,,464.0,2320.0,0.2,,,,0.0004310344827586,,
e8b6454a-a235-4b80-9805-edd03393f302,LCO 40/200-1050/77 NF C ADV3,'Building service engineering' / 'Electrical' / 'Lighting',average dataset,1,pcs.,EU,Tridonic GmbH & CoKG,,,,,,,,28.5405684845231,0.0,28.5405684845231,136.778138763655,2.42396076449486,139.20209952815,0.225212535187163,10.3955091142018,-0.0077675797872432,10.3998539176278,0.0034227763611806,,,0.0119032162607083,1.98300703027e-05,0.129745353172014,,,,,1.488527e-10,0.0442903018426132,138.974175306407,0.0010724830562194,2.20454619250484,,,,,,,0.204,,,
e8cf2935-ef5c-40db-a819-953a9ef12df8,"Glued laminated timber, glued solid timber, block glued glulam, special components",'Wood' / 'Solid wood' / 'Glue-laminated timber',average dataset,1,m3,EU-27,HASSLACHER Holding GmbH,,,,,,,,1703.56816155383,7655.92465808227,9359.4928196361,2004.32510296583,85.1021429889037,2089.42724595473,0.667163325856841,-608.414726529582,-753.180807330254,143.985379960103,0.780700840569229,,,0.294923039915311,0.0016415829542638,3.00587148752732,,,,,6.84403253e-08,0.846529824061078,2087.20853150605,3.8143900304e-05,11.7159239165189,,,470.0,,,,,,,
e8d30bdc-b914-446c-ab3b-6059327a552b,Knauf GIFAfloor DB 30 green,"'Mineral building products' / 'Bricks, blocks and elements' / 'Gypsum plasterboard'",specific dataset,1,qm,GLO,Knauf Gips KG,,,,,,,,4.09131428571429,66.2544,70.3457142857143,128.920985476524,0.088538333,129.009523809524,0.0278,1.75789904761905,-7.20666666666667,8.96285714285714,0.0017085714285714,47.6666666666667,8.057142857e-07,0.0081009523809523,2.7009523809e-06,0.0901238095238095,1.438e-09,1.219238095e-07,0.455904761904762,49.2714285714286,2.06172e-11,0.0225361904761905,128.980952380952,2.5887619047e-06,0.479104761904762,,48.3,,0.03,,,,,,
e8f279e9-d72d-4645-bb33-5651d9ec07c0,Fire Damper BSK-RPR,'Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system',specific dataset,1,pcs.,DE,SCHAKO Ferdinand Schad KG,,,,,,,,35.451,1.749,37.2,233.5715,15.4285,249.0,0.0548,20.7,-0.165,20.9,0.0215,,,0.0114,6.18e-05,0.123,,,,,2.26e-09,0.0363,247.0,0.000786,0.301,,,6.827,,,,,6.827,,
