iter	Passed	Remaining
477	36426	39780
478	36509	39710
479	36586	39635
480	36666	39563
481	36743	39488
482	36831	39423
483	36913	39354
484	36994	39283
485	37070	39206
486	37127	39109
487	37194	39024
488	37269	38946
489	37343	38867
490	37425	38797
491	37502	38722
492	37590	38657
493	37673	38589
494	37764	38526
495	37852	38462
496	37927	38385
497	38009	38315
498	38092	38245
499	38171	38171
500	38244	38091
501	38311	38006
502	38387	37929
503	38461	37851
504	38549	37786
505	38631	37714
506	38717	37648
507	38815	37593
508	38889	37514
509	38959	37431
510	39019	37339
511	39107	37274
512	39174	37188
513	39245	37107
514	39324	37033
515	39398	36955
516	39487	36890
517	39569	36819
518	39672	36767
519	39752	36694
520	39825	36615
521	39899	36536
522	39959	36444
523	40039	36371
524	40127	36305
525	40206	36231
526	40319	36187
527	40400	36115
528	40480	36042
529	40550	35959
530	40624	35881
531	40708	35811
532	40788	35738
533	40933	35720
534	40988	35625
535	41048	35534
536	41121	35454
537	41212	35390
538	41294	35318
539	41367	35238
540	41437	35157
541	41518	35084
542	41600	35011
543	41693	34948
544	41792	34891
545	41875	34819
546	41952	34742
547	42006	34648
548	42081	34569
549	42160	34495
550	42239	34420
551	42316	34343
552	42401	34273
553	42488	34205
554	42580	34141
555	42677	34080
556	42764	34012
557	42823	33921
558	42890	33836
559	42954	33749
560	43023	33666
561	43103	33592
562	43247	33568
563	43461	33598
564	43521	33507
565	43577	33414
566	43657	33339
567	43748	33273
568	43864	33226
569	43971	33171
570	44031	33081
571	44098	32997
572	44188	32929
573	44250	32840
574	44311	32752
575	44402	32685
576	44473	32603
577	44539	32518
578	44647	32463
579	44732	32392
580	44823	32325
581	44896	32244
582	44954	32154
583	45036	32081
584	45130	32015
585	45214	31943
586	45296	31869
587	45371	31790
588	45460	31721
589	45526	31636
590	45591	31551
591	45686	31486
592	45776	31418
593	45875	31356
594	45946	31274
595	46031	31202
596	46093	31115
597	46160	31031
598	46247	30960
599	46307	30871
600	46366	30782
601	46434	30699
602	46514	30623
603	46586	30543
604	46669	30470
605	46755	30398
606	46826	30317
607	46887	30229
608	46948	30142
609	47007	30053
610	47069	29967
611	47142	29887
612	47227	29815
613	47295	29733
614	47367	29652
615	47435	29570
616	47502	29487
617	47565	29401
618	47638	29321
619	47728	29253
620	47787	29164
621	47856	29083
622	47916	28996
623	47975	28908
624	48034	28820
625	48179	28784
626	48234	28694
627	48322	28623
628	48510	28612
629	48566	28522
630	48636	28442
631	48700	28357
632	48785	28284
633	48875	28215
634	48953	28138
635	49017	28054
636	49089	27974
637	49179	27904
638	49251	27824
639	49317	27741
640	49377	27654
641	49441	27570
642	49512	27489
643	49591	27414
644	49679	27343
645	49747	27260
646	49807	27174
647	49866	27087
648	49925	27001
649	49992	26919
650	50088	26852
651	50183	26784
652	50267	26711
653	50344	26634
654	50414	26554
655	50493	26478
656	50573	26402
657	50650	26326
658	50729	26249
659	50808	26174
660	50877	26092
661	50957	26017
662	51033	25940
663	51108	25862
664	51201	25793
665	51292	25723
666	51367	25645
667	51428	25560
668	51499	25480
669	51575	25402
670	51649	25324
671	51706	25237
672	51833	25185
673	51932	25118
674	51987	25031
675	52081	24962
676	52143	24877
677	52197	24790
678	52254	24703
679	52333	24627
680	52411	24551
681	52499	24479
682	52585	24406
683	52652	24324
684	52729	24247
685	52813	24174
686	52892	24097
687	52974	24023
688	53055	23947
689	53131	23870
690	53219	23798
691	53298	23722
692	53377	23646
693	53462	23572
694	53589	23517
695	53811	23503
696	53910	23435
697	54016	23371
698	54144	23315
699	54248	23249
700	54390	23199
701	54491	23131
702	54607	23070
703	54712	23004
704	54816	22937
705	54997	22902
706	55115	22841
707	55216	22772
708	55306	22699
709	55376	22618
710	55436	22533
711	55491	22445
712	55568	22367
713	55625	22281
714	55694	22199
715	55875	22162
716	56011	22107
717	56125	22043
718	56260	21987
719	56461	21957
720	56577	21893
721	56692	21828
722	56773	21751
723	56858	21675
724	56944	21599
725	57032	21524
726	57121	21449
727	57210	21375
728	57394	21335
729	57523	21275
730	57682	21226
731	57815	21167
732	57985	21121
733	58151	21074
734	58258	21004
735	58372	20937
736	58463	20862
737	58523	20776
738	58597	20695
739	58680	20617
740	58743	20532
741	58802	20445
742	59019	20414
743	59132	20346
744	59231	20273
745	59374	20216
746	59498	20151
747	59598	20078
748	59681	20000
749	59777	19925
750	59868	19849
751	59958	19773
752	60045	19696
753	60141	19621
754	60222	19542
755	60382	19488
756	60501	19421
757	60567	19336
758	60624	19249
759	60706	19170
760	60810	19098
761	60915	19026
762	60980	18941
763	61049	18858
764	61115	18774
765	61191	18693
766	61288	18618
767	61378	18541
768	61439	18455
769	61509	18372
770	61596	18295
771	61668	18213
772	61753	18134
773	61839	18056
774	61915	17975
775	61987	17893
776	62081	17817
777	62171	17740
778	62252	17660
779	62308	17574
780	62373	17490
781	62436	17405
782	62506	17323
783	62585	17242
784	62657	17160
785	62741	17082
786	62841	17007
787	62940	16933
788	63018	16852
789	63083	16768
790	63147	16685
791	63219	16603
792	63283	16519
793	63346	16434
794	63427	16355
795	63498	16273
796	63596	16198
797	63678	16119
798	63754	16038
799	63824	15956
800	63904	15876
801	63972	15793
802	64041	15711
803	64106	15627
804	64186	15548
805	64274	15470
806	64361	15392
807	64438	15312
808	64511	15230
809	64587	15150
810	64661	15068
811	64727	14986
812	64806	14906
813	64888	14827
814	64963	14746
815	65029	14663
816	65101	14582
817	65177	14501
818	65246	14419
819	65331	14340
820	65418	14263
821	65520	14188
822	65610	14110
823	65700	14033
824	65792	13956
825	65857	13873
826	65926	13791
827	66017	13713
828	66104	13635
829	66172	13553
830	66265	13476
831	66364	13400
832	66426	13317
833	66504	13237
834	66590	13158
835	66665	13077
836	66748	12998
837	66832	12919
838	66915	12840
839	66992	12760
840	67068	12679
841	67142	12599
842	67225	12519
843	67310	12441
844	67391	12361
845	67484	12284
846	67584	12208
847	67654	12126
848	67725	12045
849	67799	11964
850	67876	11884
851	67971	11807
852	68065	11729
853	68143	11649
854	68231	11571
855	68319	11493
856	68399	11413
857	68485	11334
858	68550	11252
859	68635	11173
860	68730	11095
861	68829	11019
862	68909	10939
863	68990	10859
864	69069	10779
865	69157	10701
866	69248	10622
867	69325	10542
868	69410	10463
869	69489	10383
870	69561	10302
871	69637	10222
872	69721	10142
873	69799	10062
874	69882	9983
875	69955	9902
876	70020	9820
877	70098	9740
878	70204	9664
879	70274	9582
880	70353	9502
881	70438	9423
882	70526	9344
883	70617	9266
884	70688	9185
885	70763	9105
886	70842	9025
887	70915	8944
888	70999	8864
889	71085	8785
890	71176	8707
891	71263	8628
892	71358	8550
893	71423	8468
894	71524	8391
895	71614	8312
896	71708	8234
897	71794	8154
898	71871	8074
899	71955	7995
900	72030	7914
901	72111	7834
902	72184	7754
903	72247	7672
904	72339	7593
905	72413	7513
906	72486	7432
907	72572	7353
908	72660	7274
909	72767	7196
910	72846	7116
911	72934	7037
912	73035	6959
913	73114	6879
914	73173	6797
915	73261	6718
916	73347	6638
917	73447	6560
918	73512	6479
919	73570	6397
920	73648	6317
921	73728	6237
922	73819	6158
923	73880	6076
924	73957	5996
925	74036	5916
926	74118	5836
927	74266	5762
928	74407	5686
929	74484	5606
930	74564	5526
931	74650	5446
932	74742	5367
933	74819	5287
934	74937	5209
935	75021	5129
936	75113	5050
937	75196	4970
938	75295	4891
939	75366	4810
940	75439	4729
941	75518	4649
942	75613	4570
943	75699	4490
944	75778	4410
945	75850	4329
946	75925	4249
947	76000	4168
948	76074	4088
949	76147	4007
950	76237	3928
951	76337	3848
952	76415	3768
953	76483	3687
954	76561	3607
955	76635	3527
956	76737	3447
957	76831	3368
958	76915	3288
959	76996	3208
960	77095	3128
961	77188	3049
962	77275	2969
963	77362	2889
964	77463	2809
965	77546	2729
966	77611	2648
967	77668	2567
968	77723	2486
969	77795	2406
970	77873	2325
971	77949	2245
972	78021	2165
973	78099	2084
974	78191	2004
975	78269	1924
976	78353	1844
977	78427	1764
978	78515	1684
979	78607	1604
980	78676	1523
981	78738	1443
982	78834	1363
983	78934	1283
984	79010	1203
985	79096	1123
986	79162	1042
987	79267	962
988	79372	882
989	79456	802
990	79537	722
991	79608	642
992	79680	561
993	79760	481
994	79833	401
995	79925	320
996	80007	240
997	80074	160
998	80161	80
999	80252	0
