iter	RMSE
284	456.6003883
285	456.4415669
286	456.3244917
287	456.3220537
288	456.2848679
289	456.2417745
290	456.1698957
291	455.9559221
292	455.953781
293	455.8144192
294	455.6878653
295	455.6303407
296	455.5630198
297	455.4307651
298	455.2230336
299	455.1074842
300	454.9692635
301	454.9668251
302	454.9652776
303	454.9041801
304	454.8407595
305	454.8347131
306	454.4116112
307	454.314196
308	454.2554958
309	454.1860828
310	454.1817697
311	454.1792408
312	454.1766528
313	453.9053821
314	453.8080263
315	453.8041615
316	453.798909
317	453.6739069
318	453.5978946
319	453.5617477
320	453.4455853
321	453.3532534
322	453.2650427
323	453.2564977
324	453.2518321
325	453.1418617
326	453.0797395
327	453.0722294
328	453.0653371
329	452.9559318
330	452.9007474
331	452.8985535
332	452.8897835
333	452.7866938
334	452.7291588
335	452.7234582
336	452.7214868
337	452.7097149
338	452.5396665
339	452.2505002
340	452.2452426
341	451.9830378
342	451.4017518
343	451.3994357
344	451.240142
345	450.9392408
346	450.9378505
347	450.9351977
348	450.9326829
349	450.8785975
350	450.7505326
351	450.7477804
352	450.557454
353	450.4089583
354	450.4061
355	450.2734223
356	450.2708408
357	450.2684999
358	449.7997718
359	449.79691
360	449.7952486
361	449.615614
362	449.0969961
363	448.9821749
364	448.9333818
365	448.8818375
366	448.6116793
367	448.4035265
368	448.4011319
369	448.3931107
370	448.3498062
371	448.2284994
372	448.1102546
373	448.0750563
374	447.9242446
375	447.6434048
376	447.5556508
377	447.5548905
378	447.5526892
379	447.5508722
380	447.4311628
381	447.4299437
382	447.3851328
383	447.33706
384	447.2594018
385	447.2574992
386	447.2568958
387	447.2551257
388	447.1169075
389	447.1152512
390	447.0735995
391	447.072584
392	446.9598306
393	446.8565756
394	446.6366269
395	445.9559243
396	445.8482684
397	445.6822587
398	445.6098823
399	445.6081764
400	445.6064582
401	445.5928272
402	445.4098879
403	445.3704902
404	445.2811553
405	445.2249684
406	444.5514234
407	444.3657413
408	444.2941005
409	444.2118558
410	444.0533346
411	443.8020222
412	443.6547961
413	443.6534345
414	443.5808597
415	443.5702079
416	443.5401538
417	443.3560621
418	443.3278574
419	443.1051273
420	443.0377491
421	442.9909661
422	442.9260352
423	442.8637073
424	442.8578998
425	442.7239987
426	442.6927208
427	442.6492303
428	442.6001841
429	442.5950276
430	442.5799049
431	442.5194529
432	441.8871023
433	441.8838485
434	441.8060769
435	441.6672482
436	441.5435109
437	441.4881676
438	441.4836191
439	441.4797313
440	441.3814967
441	441.25602
442	441.2295332
443	441.2047879
444	441.1773755
445	441.0621287
446	441.0101565
447	440.990771
448	440.9841891
449	440.9802
450	440.9768802
451	440.9334423
452	440.9304472
453	440.8280065
454	440.6518099
455	440.5567306
456	440.4484219
457	440.4460909
458	440.2326454
459	440.2072789
460	440.1601587
461	440.1444362
462	440.1061496
463	439.9694883
464	439.7910144
465	439.6238864
466	439.5366436
467	439.3800105
468	439.2475047
469	439.2237626
470	439.0764702
471	439.0362857
472	439.0164071
473	438.689902
474	438.6753916
475	438.5378036
476	438.4603505
477	438.4561763
478	438.3272711
479	438.284416
480	438.2255209
481	438.1590658
482	437.5709706
483	437.4919324
484	437.473856
485	437.3524418
486	436.7800765
487	436.4281494
488	436.2527332
489	436.2501085
490	436.2470756
491	436.0891844
492	436.0664107
493	435.9139305
494	435.9116168
495	435.8651868
496	435.8486847
497	435.7780615
498	435.7757148
499	435.4764895
500	435.4428837
501	435.2961523
502	435.1707485
503	435.1649811
504	435.0964222
505	434.7593368
506	434.6724001
507	434.671622
508	434.6015289
509	434.5384127
510	434.5264795
511	434.4896932
512	434.4477484
513	434.426892
514	434.1243561
515	434.1056834
516	433.8748482
517	433.839765
518	433.8099893
519	433.7878779
520	433.7277277
521	433.6979233
522	433.577751
523	433.4687984
524	433.1342693
525	433.07237
526	433.041661
527	432.9843666
528	432.9314933
529	432.9024069
530	432.8535357
531	432.8336154
532	432.7632327
533	432.7527264
534	432.752235
535	432.7336677
536	432.7099188
537	432.6889754
538	432.6438736
539	432.5452647
540	432.5275784
541	432.5172169
542	432.4288991
543	432.4267353
544	432.4171888
545	432.266865
546	432.0623948
547	432.012604
548	431.8776661
549	431.8718638
550	431.762516
551	431.7065771
552	431.6922767
553	431.6744238
554	431.6561653
555	431.6393004
556	431.5879971
557	431.4491416
558	431.4087484
559	431.3838987
560	431.3670344
561	431.3014149
562	431.220395
563	431.1214115
564	431.0719589
565	431.0279724
566	430.9715288
567	430.6825906
568	430.6694735
569	430.6297406
570	430.5513343
571	430.4463141
572	430.31436
573	429.8776722
574	429.810342
575	429.7620155
576	429.6850391
577	429.4415733
578	429.4245042
579	429.3767214
580	429.281261
581	428.8216979
582	428.6740453
583	428.6392292
584	428.6260833
585	428.4369772
586	428.2295343
587	428.1928953
588	428.065061
589	428.0418943
590	427.8711827
591	427.78312
592	427.6472904
593	427.6013918
594	427.3140592
595	427.2295702
596	427.1972643
597	427.167462
598	426.9979961
599	426.9880173
600	426.8240671
601	426.5807113
602	426.4471655
603	426.341824
604	426.2328144
605	426.1939169
606	426.0807756
607	425.9790771
608	425.9273007
609	425.8678711
610	425.7725781
611	425.4731507
612	425.1291799
613	425.0462485
614	424.8595155
615	424.8592146
616	424.7427529
617	424.601108
618	424.5774013
619	424.5507962
620	424.5258505
621	424.4723209
622	424.3595701
623	424.3020727
624	424.149658
625	424.0039718
626	423.7283941
627	423.6438645
628	423.6273448
629	423.4896629
630	423.4469451
631	423.4232955
632	423.3058079
633	423.2841704
634	423.168087
635	423.036508
636	422.8747983
637	422.7243701
638	422.6301413
639	422.5410412
640	422.4896969
641	422.3652991
642	422.2846961
643	422.2685529
644	422.1598945
645	422.0607567
646	422.0222519
647	422.0088181
648	421.929356
649	421.8371046
650	421.8242109
651	421.7514439
652	421.7312172
653	421.5613785
654	421.5289318
655	421.5102443
656	421.3648671
657	421.3486906
658	421.2345703
659	421.2107851
660	421.2039367
661	421.1797944
662	420.6504538
663	420.5422899
664	420.4111348
665	420.3946045
666	420.3880042
667	420.3443709
668	420.3386188
669	419.5938598
670	419.325352
671	419.3202099
672	419.2373358
673	419.17267
674	419.1545044
675	419.0357563
676	418.7057521
677	418.6947403
678	418.6535836
679	417.9858113
680	417.9477193
681	417.9120835
682	417.9006038
683	417.7581425
684	417.7356042
685	417.6844614
686	417.670593
687	417.561608
688	417.2795619
689	417.1572543
690	417.1438481
691	417.0379334
692	417.0222162
693	416.9130476
694	416.8757384
695	416.838446
696	416.231964
697	415.989817
698	415.8303721
699	415.7273206
700	415.6798835
701	415.5428667
702	415.3005313
703	415.2666672
704	415.1089387
705	415.0312465
706	414.9306735
707	414.90878
708	414.8756757
709	414.8626627
710	414.762041
711	414.7042368
712	414.5250242
713	414.483599
714	414.3684218
715	414.3375284
716	414.2963965
717	414.1678765
718	414.1456558
719	414.1317968
720	414.042376
721	414.0283539
722	414.0051349
723	413.9093868
724	413.8783785
725	413.8482468
726	413.8095993
727	413.7966194
728	413.753579
729	413.6138142
730	413.583972
731	413.4199717
732	413.3751959
733	413.3235727
734	413.2941588
735	413.2136988
736	413.1081136
737	413.0790659
738	412.9910208
739	412.9652433
740	412.6998458
741	412.616765
742	412.6043982
743	412.5790267
744	412.5497841
745	412.5213023
746	412.5082097
747	412.4123145
748	412.3606605
749	412.1319369
750	412.0571019
751	411.9873532
752	411.6503623
753	411.4378705
754	411.4009823
755	411.3716876
756	411.3621691
757	411.3409219
758	411.3316259
759	411.2241547
760	411.1876131
761	411.0518041
762	411.0283031
763	411.0029833
764	410.9880808
765	410.8720573
766	410.8480027
767	410.7637183
768	410.5888207
769	410.5858436
770	410.5075882
771	410.4998891
772	410.4259609
773	410.4205154
774	410.3983793
775	410.3285167
776	410.3091087
777	410.2115963
778	410.1908145
779	410.0478214
780	410.0242908
781	410.0040094
782	410.0016901
783	409.9934159
784	409.9764468
785	409.8802362
786	409.8589908
787	409.8137366
788	409.7469071
789	409.6983396
790	409.5555922
791	409.5367909
792	409.3674949
793	409.2344284
794	409.2171751
795	409.1478357
796	409.1050789
797	408.895975
798	408.7729112
799	408.5549325
800	408.5072535
801	408.4415055
802	408.3487544
803	408.280617
804	408.268035
805	408.2660686
806	408.2174643
807	408.1798275
808	408.1785083
809	408.1414541
810	408.1299861
811	408.0735698
812	408.0654397
813	407.8783169
814	407.6533576
815	407.6405572
816	407.5500692
817	407.4244056
818	407.3932079
819	407.3590476
820	407.269236
821	407.0657598
822	406.9704652
823	406.8825926
824	406.8746329
825	406.7849348
826	406.7838277
827	406.7828119
828	406.6085142
829	406.5137821
830	406.5082307
831	406.4243994
832	405.6217538
833	405.6208236
834	405.604391
835	405.518615
836	405.4945317
837	405.4489061
838	405.4480718
839	405.4017729
840	405.333832
841	405.3330551
842	405.2902396
843	405.2457876
844	405.182145
845	405.1812857
846	404.8642971
847	404.7929826
848	404.7877954
849	404.7792952
850	404.7073277
851	404.6510342
852	404.6012823
853	404.5322653
854	404.5237847
855	404.3491515
856	404.3059995
857	404.3005307
858	404.2983228
859	404.2747063
860	404.2672073
861	404.2028971
862	403.9010313
863	403.8425311
864	403.8281174
865	403.8273086
866	403.7781907
867	403.4905923
868	403.2804406
869	403.1914258
870	403.1496369
871	403.1476048
872	403.0974806
873	403.0397633
874	402.9925172
875	402.9098132
876	402.9046866
877	402.7997362
878	402.6048889
879	402.545191
880	402.4473634
881	402.4135714
882	402.3718629
883	402.1912249
884	402.042631
885	401.8903557
886	401.8098983
887	401.7254703
888	401.5679464
889	401.3837929
890	401.3295011
891	401.2903802
892	401.2567122
893	401.0774589
894	401.0252104
895	400.9672083
896	400.71034
897	400.7073291
898	400.5439431
899	400.5153186
900	400.4676797
901	400.4270989
902	400.4263414
903	400.3823402
904	400.3447811
905	400.3187816
906	400.2973267
907	400.2620922
908	400.2185251
909	400.1150754
910	400.0753078
911	399.9611933
912	399.9244575
913	399.8189106
914	399.6371892
915	399.5009454
916	399.474829
917	399.2788899
918	399.2434886
919	399.2030477
920	399.097666
921	399.0845499
922	399.0588396
923	398.9949181
924	398.8736269
925	398.8359247
926	398.7385659
927	398.7256894
928	398.6709524
929	398.6210495
930	398.6093188
931	398.6077603
932	398.5823191
933	398.5800224
934	398.5347356
935	398.4452755
936	398.4330155
937	398.42985
938	398.3804539
939	398.2813528
940	398.2793497
941	398.109178
942	397.9503688
943	397.9148913
944	397.8870632
945	397.8862673
946	397.8631747
947	397.8420798
948	397.7675801
949	397.7291544
950	397.6919232
951	397.6891219
952	397.6746664
953	397.5855261
954	397.5443828
955	397.4626917
956	397.4217902
957	397.4196326
958	397.3849589
959	397.2927925
960	397.2536543
961	397.2516608
962	397.126662
963	397.0725446
964	397.0449788
965	396.9998734
966	396.9499836
967	396.9182078
968	396.9027363
969	396.6280822
970	396.5600254
971	396.5358443
972	396.5342474
973	396.4794219
974	396.4240311
975	396.4224414
976	396.3961417
977	396.2205615
978	396.2184543
979	396.20179
980	396.1120245
981	396.1070122
982	396.0441697
983	396.0289657
984	395.8642234
985	395.8367496
986	395.7856568
987	395.7639123
988	395.7597116
989	395.7331241
990	395.7203673
991	395.7168282
992	395.6687652
993	395.3034635
994	395.3025955
995	395.2627548
996	395.2596492
997	395.2175372
998	395.1479568
999	395.0272349
